Kind,Name,CountLineCode,Cyclomatic,RatioCommentToCode
File,"CLIMethod.java",18,,"2.89"
File,"CLIRegisterer.java",193,,"0.42"
File,"CLIResolver.java",15,,"3.47"
File,"CLITest.java",192,,"0.16"
File,"CSRFAdministrativeMonitor.java",24,,"1.17"
File,"CSRFAdministrativeMonitorTest.java",27,,"0.85"
File,"CallableDirectionChecker.java",54,,"0.43"
File,"CancelQuietDownCommand.java",17,,"1.71"
File,"CancelQuietDownCommandTest.java",124,,"0.27"
File,"CaptchaSupport.java",19,,"2.05"
File,"CaptchaSupportDescriptor.java",4,,"7.75"
File,"CaseInsensitiveComparator.java",16,,"2.00"
File,"Categories.java",41,,"0.73"
File,"Category.java",51,,"0.55"
File,"Cause.java",329,,"0.37"
File,"CauseAction.java",127,,"0.42"
File,"CauseOfBlockage.java",128,,"0.40"
File,"CauseOfInterruption.java",66,,"1.03"
File,"CauseTest.java",216,,"0.14"
File,"ChainedServletFilter.java",75,,"0.40"
File,"ChangeLogAnnotator.java",37,,"2.24"
File,"ChangeLogParser.java",20,,"1.70"
File,"ChangeLogSet.java",114,,"1.37"
File,"ChangeLogSetTest.java",41,,"0.02"
File,"ChannelConfigurator.java",17,,"1.65"
File,"ChannelPinger.java",164,,"0.27"
File,"ChannelPingerTest.java",109,,"0.00"
File,"ChannelRule.java",49,,"1.04"
File,"Channels.java",124,,"0.77"
File,"CharacterEncodingFilter.java",57,,"0.68"
File,"ChartUtil.java",132,,"0.86"
File,"CheckPoint.java",42,,"2.90"
File,"ChoiceParameterDefinition.java",181,,"0.19"
File,"ChoiceParameterDefinitionTest.java",125,,"0.00"
File,"ChunkedInputStream.java",154,,"0.92"
File,"ChunkedOutputStream.java",78,,"1.24"
File,"ClassFilterImpl.java",266,,"0.24"
File,"ClassFilterImplSanityTest.java",29,,"0.93"
File,"ClassFilterImplTest.java",141,,"0.18"
File,"ClassLoaderReflectionToolkit.java",137,,"0.55"
File,"ClassLoaderSanityThreadFactory.java",14,,"0.64"
File,"ClassLoaderStatisticsSlaveInfo.java",16,,"0.19"
File,"ClassPathTest.java",42,,"0.57"
File,"ClassicPluginStrategy.java",543,,"0.20"
File,"ClassicPluginStrategyTest.java",86,,"0.51"
File,"ClassicPluginStrategyTest.java",32,,"0.97"
File,"ClasspathBuilder.java",33,,"0.82"
File,"ClearQueueCommand.java",17,,"1.71"
File,"ClearQueueCommandTest.java",50,,"0.52"
File,"CliAuthenticator.java",8,,"3.25"
